id,planid,lokplan_id,komnr,kommunenavn,lp_plannr,lp_plannavn,datovedt,bygkunifelt,bygvejledende,doklink
1365406,9465583,1317724,630,Vejle,201,"Boligområde ved Vestre Engvej, Sønderå, Boulevarden, Vejle",20070206,true,true,https://dokument.plandata.dk/20_1317724_APPROVED_1259155731631.pdf
1365477,11228261,11158639,630,Vejle,1365,"Boliger ved Nørrebrogade, Vejle",20230524,true,true,https://dokument.plandata.dk/20_11158639_1685082623267.pdf
1365084,10918396,10918081,791,Viborg,567,"Område til boliger og almen service syd for Randersvej i Taphede, Viborg Øst",20220315,true,true,https://dokument.plandata.dk/20_10918081_1648113606729.pdf
1329454,9527705,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329455,9527802,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329457,9527814,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329464,9527712,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329466,9527758,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329468,9527760,1071798,390,Vordingborg,B-105.1,Boligområde øst for Hulemose Sø i Nyråd,19790926,true,true,https://dokument.plandata.dk/20_1071798_DRAFT_1202372924894.pdf
1329520,9527656,3275559,390,Vordingborg,B 16.01.01,Boliger i Fjordgården,20170313,true,true,https://dokument.plandata.dk/20_3275559_1489408524671.pdf
