"File","Line","Rule","Msg"
"packages/renderer-three/src/pipeline/OutlinePass.ts","98","pryzm/no-three-outside-committer","`three/examples/jsm/tsl/display/OutlineNode.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/RenderPipelineManager.ts","2162","pryzm/no-three-outside-committer","`three/tsl` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/RenderPipelineManager.ts","2191","pryzm/no-three-outside-committer","`three/webgpu` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/RenderPipelineManager.ts","2274","pryzm/no-three-outside-committer","`three/webgpu` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/RenderPipelineManager.ts","2828","pryzm/no-three-outside-committer","`three/webgpu` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/SSGIPass.ts","147","pryzm/no-three-outside-committer","`three/examples/jsm/tsl/display/SSGINode.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/SSGIPass.ts","178","pryzm/no-three-outside-committer","`three/examples/jsm/tsl/display/DenoiseNode.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/pipeline/TRAAPass.ts","81","pryzm/no-three-outside-committer","`three/examples/jsm/tsl/display/TRAANode.js` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/renderer-three/src/three-webgpu-types.d.ts","29","pryzm/no-three-outside-committer","`three` is a direct three import forbidden outside packages/renderer-three/.  Use `@pryzm/renderer-three` (barrel) or `@pryzm/renderer-three/three`.  See ADR-005"
"packages/view-state/src/ViewController.ts","168","no-empty","Empty block statement"
"packages/view-state/src/ViewController.ts","176","no-empty","Empty block statement"
"plugins/annotations/src/AnnotationManager.ts","16","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/OBCAnnotationAdapter.ts","9","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/AngularDimensionAnnotationTool.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/CalloutDetailTool.ts","22","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/DiameterDimensionTool.ts","24","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/DoorTagTool.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/ElementTagTool.ts","21","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/ElevationMarkTool.ts","22","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/GridBubbleTool.ts","26","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/KeynoteTool.ts","19","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
"plugins/annotations/src/tools/LevelDatumLineBuilder.ts","31","no-restricted-imports","'@thatopen/components' import is restricted from being used. OBC is L7 plugin territory — it may not appear in any PRYZM 2 package outside plugins/ifc-import/"
