ine,name,pop
48064,Meñaca,789.0
35004,Arrecife,70811.0
37311,Sobradillo,170.0
40054,Cerezo de Arriba,119.0
49275,Zamora,59815.0
03063,Denia,47261.0
18136,Montejícar,1989.0
02054,Navas de Jorquera,521.0
37293,Santa María de Sando,91.0
40031,Bernuy de Porreros,1342.0
06124,Segura de León,1758.0
40222,Veganzones,211.0
40049,Castroserna de Abajo,31.0
30006,Aledo,1123.0
38901,El Pinar de El Hierro,2042.0
24089,León,123446.0
19038,Arbeteta,16.0
31230,Torralba del Río,96.0
34034,Boadilla del Camino,111.0
09258,Pedrosa del Príncipe,155.0
45130,Parrillas,323.0
04060,Lucainena de las Torres,722.0
04028,Bentarique,223.0
04021,Bayarque,215.0
04056,Laroya,197.0
24073,Fresno de la Vega,483.0
24005,La Antigua,324.0
46020,Alcudia de Crespins,5548.0
40216,Valverde del Majano,1097.0
40105,Juarros de Riomoros,53.0
40221,Valleruela de Sepúlveda,48.0
40154,Pajarejos,22.0
20006,Alquiza,352.0
02055,Nerpio,1136.0
19268,Tierzo,32.0
37183,Martín de Yeltes,383.0
37209,Mozárbez,510.0
37182,Martinamor,91.0
48030,Echevarría,791.0
06091,Navalvillar de Pela,4303.0
37353,Villalba de los Llanos,107.0
37332,Valdehijaderos,84.0
46054,Benetúser,16734.0
46205,Puzol,21659.0
46190,Paterna,76019.0
46156,Llombay,2791.0
46147,Liria,25333.0
37274,Salamanca,146110.0
04050,Gérgal,1211.0
04004,Albanchez,688.0
19179,Membrillera,95.0
37071,La Calzada de Béjar,80.0
11040,Villaluenga del Rosario,463.0
22126,Ibieca,110.0
10122,Millanes,239.0
50063,El Buste,60.0
40057,Coca,1706.0
23024,La Carolina,14677.0
02052,Motilleja,673.0
02051,Montealegre del Castillo,2051.0
46158,Macastre,1461.0
46261,Yátova,2325.0
04020,Bayárcal,294.0
04055,Instinción,507.0
24004,Almanza,570.0
24024,El Burgo Ranero,697.0
04069,Olula del Río,6506.0
04043,Felix,771.0
44094,Cuevas Labradas,126.0
10151,Portezuelo,196.0
02072,Socovos,1643.0
11030,Rota,29289.0
31136,Juslapeña,562.0
38010,Buenavista del Norte,4695.0
46215,Riola,1820.0
47059,Curiel de Duero,111.0
48025,Ceberio,1087.0
50110,El Frasno,370.0
16263,Villar de Olalla,1575.0
24027,Cabañas Raras,1286.0
24006,Ardón,533.0
24002,Algadefe,312.0
24001,Acebedo,181.0
24012,Los Barrios de Luna,300.0
28018,Becerril de la Sierra,6737.0
07901,Ariañy,1072.0
31016,Ansoáin,10663.0
37175,Machacón,442.0
37230,Parada de Arriba,264.0
40007,Aldealengua de Pedraza,78.0
40170,Riaza,2128.0
18141,Murtas,431.0
18137,Montillana,1054.0
04061,Lúcar,829.0
09045,Basconcillos del Tozo,276.0
46251,Vallada,3091.0
03080,Jacarilla,2176.0
12136,Villavieja,3054.0
16104,Hontecillas,54.0
37291,San Pedro de Rozados,273.0
37281,Sanchón de la Sagrada,43.0
34165,San Román de la Cuba,53.0
06008,Alconera,748.0
01014,Berantevilla,461.0
49021,Benavente,17309.0
09143,Galbarros,28.0
38005,Arico,9505.0
38039,Santa Úrsula,15429.0
46191,Pedralba,3225.0
46214,Ribarroja del Turia,24616.0
40041,Cantimpalos,1533.0
24179,Valdepiélago,306.0
18112,Juviles,140.0
19235,Riba de Saelices,113.0
42107,Magaña,61.0
11011,El Bosque,2242.0
04012,Alicún,206.0
04031,Cantoria,3592.0
24020,Boca de Huérgano,412.0
24026,Bustillo del Páramo,1057.0
24021,Boñar,1732.0
04101,Viator,6339.0
01032,Lanciego,700.0
04010,Alhabia,743.0
04034,Cóbdar,169.0
04018,Armuña de Almanzora,371.0
05052,Casas del Puerto,80.0
22116,Grañén,1718.0
18135,Montefrío,5283.0
18909,Morelábor,588.0
19311,Valverde de los Arroyos,85.0
37119,La Encina,95.0
35014,La Oliva,30022.0
34189,Valdeolmillos,56.0
40020,Arcones,179.0
40035,Cabañas de Polendos,202.0
16123,Masegosa,58.0
12070,La Jana,679.0
07009,Búger,1215.0
49190,San Martín de Valderaduey,47.0
37189,Membribe de la Sierra,101.0
37188,La Maya,163.0
04036,Chercos,301.0
04093,Turre,4361.0
06134,Trasierra,590.0
26117,Pradejón,3742.0
09246,Palacios de la Sierra,662.0
37192,Miranda de Azán,451.0
37206,Moríñigo,93.0
03077,Hondón de las Nieves,2738.0
44151,Molinos,232.0
22173,Las Peñas de Riglos,263.0
12078,Montán,429.0
04058,Líjar,378.0
04046,Fondón,1152.0
03107,Polop,5828.0
03072,Gayanes,577.0
21064,San Juan del Puerto,9969.0
04027,Benizalón,242.0
37186,La Mata de Ledesma,98.0
37198,Monleras,241.0
37176,Madroñal,128.0
01008,Arrazua-Ubarrundia,1056.0
01009,Aspárrena,1609.0
49126,Moraleja de Sayago,300.0
49244,Villageriz,63.0
37132,La Fregeneda,296.0
37196,Monforte de la Sierra,50.0
13037,Cózar,903.0
03098,Orcheta,906.0
03060,Cuatretondeta,130.0
03111,Redován,8283.0
49141,Pajares de la Lampreana,282.0
